,polygon,학교 개수,숙박업소 개수,영화관 개수,대형마트 개수,노래방 개수,pc방 개수,아파트 개수,경쟁업체 개수
0,1/1,,,,,,,,
1,1/2,,,,,,,,
2,1/3,,,,,,3.0,1.0,
3,1/4,,18.0,,,,1.0,3.0,
4,1/5,,,,,,,,
5,1/6,,,,,,,,
6,1/7,,,,,,,,
7,1/8,,,,,,,,
8,1/9,,,,,,,,
9,1/10,,,,,,,,
10,1/11,,,,,,,,
11,1/12,,,,,,,,
12,1/13,,,,,,,,
13,2/1,,,,,,,,
14,2/2,1.0,,,,,,2.0,
15,2/3,2.0,,,,1.0,,5.0,
16,2/4,1.0,4.0,,,1.0,1.0,4.0,1.0
17,2/5,,11.0,,,,1.0,5.0,
18,2/6,,2.0,,,,,,
19,2/7,,,,,,,,
20,2/8,,,,,,,,
21,2/9,,,,,,,,
22,2/10,,,,,,,,
23,2/11,,,,,,,,
24,2/12,,,,,,,,
25,2/13,,,,,,,,
26,3/1,,,,,,,,
27,3/2,1.0,,,,,,1.0,1.0
28,3/3,1.0,,,,,,1.0,
29,3/4,,,,,,,3.0,
30,3/5,,,,,1.0,2.0,4.0,1.0
31,3/6,,5.0,,,,,1.0,
32,3/7,,1.0,,1.0,,,1.0,1.0
33,3/8,,,,,,,,
34,3/9,,,,,,,,
35,3/10,,,,,,,,
36,3/11,,,,,,,,
37,3/12,,,,,,,,
38,3/13,,,,,,,,
39,4/1,,,,,,,,
40,4/2,,,1.0,,,,1.0,
41,4/3,1.0,,,1.0,,3.0,,1.0
42,4/4,,,,,,,1.0,
43,4/5,,16.0,,,,3.0,,
44,4/6,,4.0,,,,,,
45,4/7,,2.0,,,,1.0,6.0,
46,4/8,,,,,,,,
47,4/9,,,,,,,,
48,4/10,,,,,,,,
49,4/11,,,,,,,,
50,4/12,,,,,,,,
51,4/13,,,,,,,,
52,5/1,,,,,,,1.0,
53,5/2,,,,,,,3.0,
54,5/3,2.0,,,,,,,2.0
55,5/4,,1.0,,,9.0,11.0,,1.0
56,5/5,1.0,1.0,,,,3.0,,
57,5/6,2.0,,,,,,,
58,5/7,,1.0,,,,,3.0,2.0
59,5/8,8.0,,,,,,,
60,5/9,,,,,,1.0,2.0,
61,5/10,,,,,,,,
62,5/11,,,,,,,,
63,5/12,,,,,,,,
64,5/13,,,,,,,,
65,6/1,2.0,,,,,,6.0,1.0
66,6/2,4.0,,,,,,1.0,1.0
67,6/3,,,,1.0,,,1.0,
68,6/4,1.0,,,,,2.0,3.0,
69,6/5,,,,,,,,
70,6/6,,2.0,,,,,5.0,
